frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,car,0.91,1,195,151,431,296,0.39,336,245,386,261,HTISA
1,car,0.89,2,118,151,232,272,,,,,,
1,car,0.89,3,490,170,763,308,,,,,,
1,car,0.77,4,380,147,448,198,,,,,,
1,car,0.72,5,83,205,101,291,,,,,,
1,car,0.75,6,435,144,491,188,,,,,,
1,car,0.83,7,488,138,554,195,,,,,,
1,car,0.34,8,489,148,535,197,,,,,,
18,car,0.68,17,683,160,761,227,,,,,,
24,car,0.45,22,683,160,754,201,,,,,,
24,car,0.37,23,687,160,763,191,,,,,,
27,car,0.84,25,682,160,765,237,,,,,,
46,car,0.63,30,561,131,674,178,,,,,,
92,car,0.9,36,489,170,764,307,0.49,555,171,610,196,IDA30
93,car,0.74,37,691,155,765,219,,,,,,
99,car,0.69,42,83,206,101,291,,,,,,
101,car,0.46,43,120,193,232,274,,,,,,
104,car,0.85,46,424,159,552,253,,,,,,
106,car,0.75,51,85,160,759,380,,,,,,
125,car,0.56,57,718,159,764,184,,,,,,
127,car,0.41,59,494,135,552,153,,,,,,
144,car,0.42,70,434,144,490,164,,,,,,
149,car,0.4,74,382,146,440,182,,,,,,
151,car,0.3,75,144,151,236,173,,,,,,
153,bus,0.58,76,83,123,147,302,,,,,,
153,car,0.52,77,486,224,608,317,,,,,,
158,car,0.45,79,345,214,448,247,,,,,,
162,car,0.63,84,257,217,429,292,,,,,,
166,motorbike,0.44,86,83,230,179,281,,,,,,
166,car,0.88,87,203,215,341,290,,,,,,
179,motorbike,0.33,104,166,225,245,274,,,,,,
184,motorbike,0.85,108,84,224,250,365,0.68,174,292,229,316,IDA87
187,motorbike,0.43,110,84,240,194,381,,,,,,
218,car,0.33,123,484,224,592,272,,,,,,
223,motorbike,0.33,126,345,218,394,256,,,,,,
238,car,0.89,128,84,219,186,314,,,,,,

--- An�lisis realizado: 2025-05-09 07:02:21 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,car,0.76,1,1094,352,1185,426,,,,,,
1,car,0.84,2,701,334,839,436,,,,,,
1,car,0.95,3,1100,1,1920,641,0.94,945,413,1005,443,JIU770
1,car,0.64,4,478,323,650,412,,,,,,
1,car,0.43,5,860,364,926,420,,,,,,
1,car,0.42,6,411,319,490,389,,,,,,
1,car,0.41,7,553,337,651,409,,,,,,
1,car,0.32,8,578,341,650,400,,,,,,
107,car,0.41,26,825,221,1220,518,,,,,,
141,car,0.45,38,860,375,918,422,,,,,,
152,car,0.74,39,1001,337,1040,397,,,,,,
152,car,0.36,40,414,320,650,409,,,,,,
160,car,0.73,42,1094,352,1184,426,,,,,,

--- An�lisis realizado: 2025-05-09 07:03:23 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,car,0.93,1,0,404,502,1022,0.99,132,699,276,782,DG1609
1,car,0.78,2,234,488,464,671,,,,,,
12,car,0.71,5,282,517,424,726,,,,,,
15,car,0.61,6,450,506,576,894,,,,,,
17,car,0.78,7,465,524,576,648,,,,,,
27,car,0.53,13,499,530,574,572,,,,,,
102,car,0.77,17,1,461,110,639,,,,,,
114,bus,0.43,20,25,353,576,1022,,,,,,
117,car,0.56,23,0,599,29,697,,,,,,
118,car,0.78,24,105,444,346,669,,,,,,
151,car,0.4,32,341,465,434,522,,,,,,
235,car,0.79,39,4,514,75,663,,,,,,
246,car,0.86,40,253,489,451,709,,,,,,
256,motorbike,0.73,51,3,685,113,860,,,,,,
260,car,0.79,53,415,515,473,637,,,,,,
262,car,0.78,54,150,494,277,679,,,,,,
268,car,0.63,57,514,467,576,696,,,,,,
270,car,0.45,63,259,497,318,603,,,,,,
283,bus,0.68,77,3,482,117,756,,,,,,
303,bus,0.69,78,388,360,576,997,,,,,,
308,car,0.79,82,1,370,290,955,0.4,167,788,247,835,W2844
309,car,0.58,83,152,470,272,743,,,,,,
319,car,0.4,85,0,418,98,1011,,,,,,
337,car,0.51,87,385,446,575,799,,,,,,
372,bus,0.73,91,437,434,572,726,,,,,,
376,car,0.34,94,50,457,118,577,,,,,,
387,bus,0.76,99,65,447,174,649,,,,,,
391,bus,0.7,100,0,422,75,789,,,,,,
407,car,0.79,101,366,546,556,664,,,,,,
420,car,0.65,104,352,482,426,575,,,,,,
428,car,0.69,108,309,447,554,641,,,,,,
432,motorbike,0.75,113,268,539,457,662,,,,,,
434,car,0.64,117,185,473,262,583,,,,,,
436,car,0.75,120,525,479,574,580,,,,,,
437,car,0.77,123,520,555,573,805,,,,,,
437,car,0.38,124,204,476,258,630,,,,,,
438,car,0.49,126,181,455,265,494,,,,,,
442,car,0.53,135,187,439,340,617,,,,,,
445,car,0.75,138,2,393,225,852,,,,,,
450,car,0.4,145,218,460,251,490,,,,,,
456,car,0.35,148,166,447,208,490,,,,,,
495,car,0.63,153,463,658,573,1022,,,,,,
524,car,0.37,156,0,384,177,787,,,,,,
525,bus,0.48,157,174,266,575,1021,,,,,,
582,bus,0.59,166,0,322,575,1023,,,,,,
635,car,0.88,167,388,483,576,677,,,,,,
639,car,0.92,169,426,514,575,725,,,,,,
645,car,0.88,171,292,479,574,657,0.72,421,571,496,599,CR085
646,car,0.6,173,313,489,421,550,,,,,,
719,car,0.95,182,88,469,576,817,0.66,436,609,518,639,HH02F07910
720,car,0.68,184,265,495,383,575,,,,,,
729,car,0.37,187,266,484,344,536,,,,,,
737,car,0.6,188,286,498,407,573,,,,,,
738,car,0.59,189,249,496,316,604,,,,,,
754,car,0.6,200,288,498,366,578,,,,,,
756,car,0.38,202,216,478,286,625,,,,,,
821,car,0.55,208,166,486,247,558,,,,,,
828,car,0.35,210,172,488,256,530,,,,,,
860,car,0.35,212,210,453,453,492,,,,,,
903,car,0.33,230,189,456,400,490,,,,,,
932,bus,0.94,234,142,75,575,857,,,,,,
986,bus,0.44,242,1,5,571,879,,,,,,

--- An�lisis realizado: 2025-05-09 07:06:23 ---
frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
694,car,0.92,1,249,75,637,404,0.87,201,260,355,316,U808TA
710,car,0.4,3,8,25,638,473,,,,,,
744,car,0.36,7,0,52,584,439,,,,,,
753,car,0.39,12,0,55,490,438,,,,,,
864,bus,0.59,17,6,223,532,476,,,,,,
877,car,0.89,19,67,316,207,479,,,,,,
950,car,0.69,25,0,90,611,478,,,,,,
