epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3058,1.4258,2.76754,1.29703,1,0.05442,0.3872,0.19237,1.39245,3.74712,1.21693,0.000654088,0.000654088,0.000654088
2,146.295,1.48109,2.19665,1.28369,0.74689,0.39502,0.53495,0.26748,1.5895,3.24508,1.42461,0.0012946,0.0012946,0.0012946
3,220.684,1.57204,2.01118,1.36612,0.77514,0.73289,0.80986,0.4105,1.611,2.34717,1.40177,0.00190872,0.00190872,0.00190872
4,295.17,1.60548,1.88992,1.36094,0.50805,0.33343,0.34186,0.17198,1.6132,3.18711,1.40387,0.0018812,0.0018812,0.0018812
5,369.617,1.57847,1.64311,1.373,0.78335,0.74022,0.81099,0.37365,1.63344,1.89057,1.40017,0.0018416,0.0018416,0.0018416
6,441.231,1.55304,1.5658,1.35475,0.81952,0.76378,0.85217,0.43515,1.63608,2.2214,1.38782,0.001802,0.001802,0.001802
7,514.217,1.53353,1.40978,1.37497,0.77196,0.86614,0.84559,0.38826,1.72076,1.48472,1.52282,0.0017624,0.0017624,0.0017624
8,588.671,1.52685,1.35828,1.36879,0.77546,0.92126,0.88768,0.45578,1.60628,1.58158,1.42763,0.0017228,0.0017228,0.0017228
9,663.401,1.46851,1.24841,1.31921,0.84098,0.86614,0.91982,0.49031,1.53147,1.18767,1.31086,0.0016832,0.0016832,0.0016832
10,738.051,1.44514,1.2261,1.31034,0.83193,0.85745,0.92219,0.49906,1.55789,1.32924,1.38732,0.0016436,0.0016436,0.0016436
11,812.021,1.48488,1.17568,1.3093,0.8837,0.83763,0.91198,0.48127,1.59412,1.15983,1.38232,0.001604,0.001604,0.001604
12,886.747,1.44131,1.10545,1.30544,0.85433,0.87402,0.92653,0.49206,1.53258,1.06795,1.33339,0.0015644,0.0015644,0.0015644
13,960.956,1.49052,1.12335,1.31256,0.92557,0.7874,0.89719,0.49667,1.45492,1.17699,1.28952,0.0015248,0.0015248,0.0015248
14,1033.71,1.46756,1.05631,1.30523,0.94248,0.88976,0.95633,0.54458,1.43122,1.04395,1.26015,0.0014852,0.0014852,0.0014852
15,1108.26,1.41356,1.01278,1.26833,0.86544,0.86096,0.91216,0.52892,1.43434,1.01666,1.25246,0.0014456,0.0014456,0.0014456
16,1182.53,1.42153,1.06844,1.28562,0.84146,0.83465,0.89472,0.48866,1.46846,1.11795,1.2848,0.001406,0.001406,0.001406
17,1255.57,1.39693,0.99185,1.24827,0.94373,0.92441,0.97105,0.55321,1.42927,0.90975,1.26883,0.0013664,0.0013664,0.0013664
18,1330.65,1.39911,0.91615,1.26074,0.90796,0.88976,0.95697,0.55309,1.42029,0.86308,1.24166,0.0013268,0.0013268,0.0013268
19,1404.93,1.37808,0.89343,1.24156,0.94382,0.96063,0.97626,0.555,1.43916,0.84389,1.25311,0.0012872,0.0012872,0.0012872
20,1479.46,1.34177,0.85508,1.21636,0.92679,0.89764,0.9499,0.55303,1.44546,0.87463,1.25903,0.0012476,0.0012476,0.0012476
21,1551.84,1.36383,0.87255,1.23306,0.92508,0.91339,0.96292,0.54055,1.46989,0.88323,1.26607,0.001208,0.001208,0.001208
22,1626.99,1.38282,0.84709,1.22575,0.95788,0.93701,0.9732,0.55981,1.43439,0.78343,1.24744,0.0011684,0.0011684,0.0011684
23,1703.74,1.32683,0.83137,1.20912,0.94511,0.94899,0.98352,0.54854,1.4706,0.75824,1.28385,0.0011288,0.0011288,0.0011288
24,1776.16,1.35089,0.87182,1.2347,0.90972,0.97638,0.98206,0.56167,1.46996,0.74205,1.28718,0.0010892,0.0010892,0.0010892
25,1848.35,1.34904,0.8176,1.22441,0.95755,0.92913,0.98023,0.55129,1.43948,0.78877,1.26158,0.0010496,0.0010496,0.0010496
26,1922.69,1.3335,0.84764,1.22166,0.92981,0.93878,0.97708,0.53746,1.43793,0.83276,1.25002,0.00101,0.00101,0.00101
27,1996.65,1.32279,0.80691,1.20533,0.89054,0.96095,0.97352,0.55474,1.45637,0.7465,1.25423,0.0009704,0.0009704,0.0009704
28,2070.91,1.288,0.78514,1.2037,0.93503,0.92126,0.96506,0.55816,1.41509,0.79673,1.2439,0.0009308,0.0009308,0.0009308
29,2143,1.28668,0.76568,1.17624,0.93495,0.90537,0.95953,0.5745,1.42109,0.76079,1.24224,0.0008912,0.0008912,0.0008912
30,2214.97,1.28978,0.72968,1.16653,0.95638,0.95276,0.97615,0.56164,1.43721,0.75015,1.26842,0.0008516,0.0008516,0.0008516
31,2287.19,1.24779,0.73924,1.19122,0.94373,0.92445,0.96783,0.5544,1.48535,0.70814,1.29261,0.000812,0.000812,0.000812
32,2361.28,1.25398,0.72808,1.16588,0.97469,0.88189,0.97826,0.5834,1.42802,0.70107,1.24857,0.0007724,0.0007724,0.0007724
33,2434.87,1.2511,0.72326,1.18765,0.97849,0.93701,0.98564,0.57505,1.44563,0.66409,1.24813,0.0007328,0.0007328,0.0007328
34,2508.91,1.21995,0.69278,1.14781,0.95267,0.95105,0.98053,0.58275,1.41434,0.68609,1.25214,0.0006932,0.0006932,0.0006932
35,2583.28,1.233,0.70295,1.16622,0.9605,0.95734,0.97964,0.57501,1.43459,0.69151,1.25634,0.0006536,0.0006536,0.0006536
36,2657.69,1.22014,0.68374,1.14614,0.93141,0.96238,0.98409,0.58619,1.41982,0.6989,1.24836,0.000614,0.000614,0.000614
37,2729.22,1.19954,0.67377,1.15246,0.97434,0.93701,0.98152,0.59058,1.44363,0.6705,1.24226,0.0005744,0.0005744,0.0005744
38,2803.82,1.20018,0.67465,1.16709,0.97748,0.96063,0.98842,0.5909,1.4266,0.66175,1.24403,0.0005348,0.0005348,0.0005348
39,2878.29,1.21982,0.65992,1.15799,0.98369,0.94979,0.98562,0.58166,1.43714,0.6513,1.25537,0.0004952,0.0004952,0.0004952
40,2950.61,1.14743,0.64895,1.12293,0.98235,0.9685,0.98976,0.59271,1.40266,0.64906,1.23669,0.0004556,0.0004556,0.0004556
41,3023.52,1.12401,0.58728,1.11944,0.98613,0.95276,0.98644,0.57881,1.42762,0.63951,1.23407,0.000416,0.000416,0.000416
42,3096.92,1.1311,0.57165,1.1288,0.99186,0.95931,0.99018,0.58309,1.39398,0.64542,1.21644,0.0003764,0.0003764,0.0003764
43,3168.87,1.14119,0.55921,1.13223,0.9839,0.96246,0.99179,0.5961,1.40237,0.61983,1.23195,0.0003368,0.0003368,0.0003368
44,3241.81,1.10014,0.55319,1.11989,0.98124,0.96063,0.98586,0.59046,1.40108,0.62173,1.23377,0.0002972,0.0002972,0.0002972
45,3314.48,1.08385,0.54353,1.08591,0.98207,0.96063,0.98496,0.59709,1.40077,0.64097,1.22929,0.0002576,0.0002576,0.0002576
46,3387.58,1.06868,0.52652,1.07687,0.98372,0.95133,0.98619,0.57414,1.40352,0.62151,1.21596,0.000218,0.000218,0.000218
47,3460.24,1.04961,0.51922,1.08568,0.98139,0.95276,0.98539,0.58506,1.4071,0.61884,1.21448,0.0001784,0.0001784,0.0001784
48,3534.43,1.02301,0.5072,1.06809,0.96076,0.96405,0.98359,0.58412,1.41355,0.62168,1.2216,0.0001388,0.0001388,0.0001388
49,3608.46,1.01965,0.49825,1.07235,0.96823,0.95994,0.9832,0.59274,1.41421,0.62047,1.23001,9.92e-05,9.92e-05,9.92e-05
50,3681.02,1.01931,0.48836,1.07651,0.98353,0.94027,0.98277,0.59602,1.40997,0.61531,1.22573,5.96e-05,5.96e-05,5.96e-05
