epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9096,1.38774,3.20445,1.27406,0.00507,0.81102,0.49949,0.27628,1.32198,3.88493,1.08431,0.00052,0.00052,0.00052
2,168.661,1.48609,2.3807,1.32975,0.78459,0.02907,0.07957,0.0422,1.57657,4.1432,1.48385,0.00104951,0.00104951,0.00104951
3,253.38,1.52619,2.08891,1.35068,0.07248,0.22835,0.05498,0.02497,1.65735,3.62106,1.45607,0.00156832,0.00156832,0.00156832
4,338.153,1.58341,1.96082,1.38258,0.16133,0.3937,0.14045,0.06068,1.76384,3.90575,1.63335,0.0019406,0.0019406,0.0019406
5,422.879,1.581,1.86279,1.36193,0.0652,0.2126,0.06977,0.02769,1.7214,18.4209,1.53839,0.0019208,0.0019208,0.0019208
6,507.732,1.54887,1.68548,1.37626,0.13452,0.45669,0.1132,0.04958,1.76771,5.98805,1.57741,0.001901,0.001901,0.001901
7,592.341,1.54111,1.58508,1.35968,0.81614,0.74016,0.85403,0.47104,1.53912,2.75485,1.46307,0.0018812,0.0018812,0.0018812
8,676.561,1.52023,1.42982,1.38066,0.8726,0.7011,0.84219,0.45701,1.53769,1.62697,1.39424,0.0018614,0.0018614,0.0018614
9,760.438,1.47543,1.33341,1.31181,0.76834,0.83572,0.89074,0.48528,1.49462,1.58558,1.34548,0.0018416,0.0018416,0.0018416
10,844.681,1.49206,1.2846,1.33089,0.88904,0.66929,0.82066,0.41679,1.70356,1.68561,1.49799,0.0018218,0.0018218,0.0018218
11,928.65,1.51232,1.25103,1.36303,0.72225,0.75591,0.77683,0.41081,1.51871,1.36053,1.36451,0.001802,0.001802,0.001802
12,1012.78,1.45507,1.20452,1.29396,0.77976,0.83637,0.88683,0.48959,1.47572,1.48895,1.30256,0.0017822,0.0017822,0.0017822
13,1096.29,1.50786,1.16854,1.35286,0.72962,0.87402,0.89465,0.48656,1.48206,1.62529,1.36772,0.0017624,0.0017624,0.0017624
14,1180,1.46794,1.08367,1.32683,0.81703,0.84385,0.9211,0.4945,1.55373,1.08152,1.35309,0.0017426,0.0017426,0.0017426
15,1264.09,1.44858,1.03422,1.28798,0.88831,0.68889,0.80183,0.42967,1.55054,1.36789,1.36946,0.0017228,0.0017228,0.0017228
16,1348.36,1.48496,1.10262,1.33599,0.84172,0.80315,0.84836,0.44299,1.49855,1.28016,1.29965,0.001703,0.001703,0.001703
17,1432.82,1.44053,1.01991,1.27669,0.89627,0.81642,0.9122,0.52043,1.49059,1.0479,1.28581,0.0016832,0.0016832,0.0016832
18,1517.58,1.43126,0.9822,1.28601,0.86449,0.85394,0.91374,0.48913,1.50096,1.00688,1.3029,0.0016634,0.0016634,0.0016634
19,1602.08,1.42064,0.96974,1.2601,0.85973,0.91694,0.93632,0.52992,1.48958,1.04563,1.35564,0.0016436,0.0016436,0.0016436
20,1687.27,1.42564,0.98049,1.28686,0.87714,0.85039,0.94442,0.51279,1.45279,1.0081,1.28303,0.0016238,0.0016238,0.0016238
21,1771.95,1.4077,0.97659,1.26982,0.86298,0.89267,0.91883,0.50691,1.50193,0.96068,1.28868,0.001604,0.001604,0.001604
22,1856.7,1.44163,0.90135,1.26748,0.86893,0.83525,0.90691,0.48818,1.54632,0.97542,1.34758,0.0015842,0.0015842,0.0015842
